Molecule,PUBCHEM_COMPOUND_CID,PUBCHEM_IUPAC_INCHI,PUBCHEM_IUPAC_INCHIKEY,Unnamed: 4,Half-Life in MLM minutes,Binary Classification
S=123=O.[F]C4=C5C3=C3C6=C4[H].O=C4N7C8=C9C%10%11C4%12N2C24C%13=O.O=1.N%131C%13%14C%15%16[H].N%17%18C=%19C7%20[H].N=7C=%19[H].N#CC%19=C9[H].C89=C%19[H].C%138%19[H].C%14%13%21[H].C%17=7[H].C%187%14[H].[H]%12.[H]%10.[H]%11.[H]2.[H]4.[H]%20.[H]9.[H]1.[H]%13.[H]%21.[H]%15.[H]%16.[H]8.[H]%19.[H]3.[H]5.[H]7.[H]%14.[H]6,24777534,"InChI=1S/C27H29FN6O4S/c1-27(2,3)31-25(35)16-34(39(37,38)22-7-5-6-20(28)12-22)24-11-19-10-18(13-29)8-9-23(19)33(26(24)36)15-21-14-30-17-32(21)4/h5-10,12,14,17,24H,11,15-16H2,1-4H3,(H,31,35)",ZGMDLDYUEMBFOJ-UHFFFAOYSA-N,,31.0,0
S=123=O.O=C4N5C6=C7C89C4%10N2C24C%11=C%12C%13=C%14N%15N=C%16C%17=C%15[H].O=1.N1%15C=%18C5%19[H].N=5C3=C3N%20C=5[H].N=5C=%18[H].N#CC%18=C7[H].C67=C%18[H].C%116=C%14[H].C1=5[H].C%1515[H].C%20%11%14[H].[H]%10.[H]8.[H]9.[H]2.[H]4.[H]%19.[H]7.[H]3.[H]%12.[H]6.[H]%13.[H]1.[H]5.[H]%11.[H]%14.[H]%17.[H]%16,24777274,"InChI=1S/C29H27N9O3S/c1-34-18-28(32-20-34)42(40,41)38(16-21-4-7-24(8-5-21)37-11-3-10-33-37)27-13-23-12-22(14-30)6-9-26(23)36(29(27)39)17-25-15-31-19-35(25)2/h3-12,15,18-20,27H,13,16-17H2,1-2H3",WMXCYTTUJRZJQA-UHFFFAOYSA-N,,9.0,0
S=123=O.O=C4N5C6=C7C89C4%10N2C24C=%11OC%12%13C%14%15[H].O=1.O=%11.N1%11C=%16C5%17[H].N=5C3=C3N%18C=5[H].N=5C=%16[H].N#CC%16=C7[H].C67=C%16[H].C%126%16[H].C%13%12%19[H].C1=5[H].C%1115[H].C%18%11%13[H].[H]%10.[H]8.[H]9.[H]2.[H]4.[H]%17.[H]7.[H]3.[H]%14.[H]%15.[H]6.[H]%12.[H]%19.[H]%16.[H]1.[H]5.[H]%11.[H]%13,24777272,"InChI=1S/C25H29N7O5S/c1-25(2,3)37-23(33)14-32(38(35,36)22-13-29(4)16-28-22)21-9-18-8-17(10-26)6-7-20(18)31(24(21)34)12-19-11-27-15-30(19)5/h6-8,11,13,15-16,21H,9,12,14H2,1-5H3",OUSYXTRKAFJDGA-UHFFFAOYSA-N,,21.0,0
S=123=O.O=C4N5C6=C7C89C4%10N2C24C%11=C%12C%13=C%14C%15=C%11[H].O=1.N1%11C=%16C5%17[H].N=5C3=C3N%18C=5[H].N=5C=%16[H].N#CC%16=C7[H].N#C%14.C67=C%16[H].C1=5[H].C%1115[H].C%186%11[H].[H]%10.[H]8.[H]9.[H]2.[H]4.[H]%17.[H]7.[H]3.[H]%12.[H]1.[H]5.[H]%13.[H]%15.[H]6.[H]%11,24777270,"InChI=1S/C27H24N8O3S/c1-32-16-26(31-18-32)39(37,38)35(14-20-5-3-19(11-28)4-6-20)25-10-22-9-21(12-29)7-8-24(22)34(27(25)36)15-23-13-30-17-33(23)2/h3-9,13,16-18,25H,10,14-15H2,1-2H3",GIQDXFJTEVOMSR-UHFFFAOYSA-N,,40.0,0
S=123=O.O=C4N5C6=C7C89C4%10N2C24C%11=O.O=1.N%111C%11%12C%13%14[H].N%15%16C=%17C5%18[H].N=5C3=C3N%19C=5[H].N=5C=%17[H].N#CC%17=C7[H].C67=C%17[H].C%116%17[H].C%12%11%20[H].C%15=5[H].C%165%12[H].C%19%15%16[H].[H]%10.[H]8.[H]9.[H]2.[H]4.[H]%18.[H]7.[H]1.[H]%13.[H]%14.[H]6.[H]%17.[H]%11.[H]%20.[H]3.[H]5.[H]%12.[H]%15.[H]%16,24777132,"InChI=1S/C25H30N8O4S/c1-25(2,3)29-22(34)13-33(38(36,37)23-14-30(4)16-28-23)21-9-18-8-17(10-26)6-7-20(18)32(24(21)35)12-19-11-27-15-31(19)5/h6-8,11,14-16,21H,9,12-13H2,1-5H3,(H,29,34)",VLVAVKZHOAWKKQ-UHFFFAOYSA-N,,144.0,1
S=123=O.S=456=O.O=C7N8C9=C%10C%11%12C7%13N2C27C%14=C%15C%16=C5C5=C%14[H].O=1.O=4.N14C=%14C8%17[H].N=8C3=C3N%18C=8[H].N=8C=%14[H].N#CC%14=C%10[H].C9%10=C%14[H].C1=8[H].C418[H].C%1849[H].C6%14%18[H].[H]%13.[H]%11.[H]%12.[H]2.[H]7.[H]%17.[H]%10.[H]%15.[H]3.[H]%16.[H]5.[H]1.[H]8.[H]4.[H]9.[H]%14.[H]%18,24777018,"InChI=1S/C27H27N7O5S2/c1-31-16-26(30-18-31)41(38,39)34(14-19-4-7-23(8-5-19)40(3,36)37)25-11-21-10-20(12-28)6-9-24(21)33(27(25)35)15-22-13-29-17-32(22)2/h4-10,13,16-18,25H,11,14-15H2,1-3H3",KTHNDDWDKVGDPX-UHFFFAOYSA-N,,133.0,1
S=123=O.O=1.N21C24C56N7C8=C9C2%10[H].N2%11C=%12C7%13[H].N=7C3=C3N%14C=7[H].N=7C=%12[H].N#CC%12=C9[H].N#CC9=C%15C%16=C%17C1%18[H].C81=C%12[H].C%178=C9[H].C2=7[H].C%1127[H].C%149%11[H].[H]4.[H]5.[H]6.[H]%10.[H]%13.[H]%18.[H]1.[H]3.[H]%16.[H]8.[H]2.[H]7.[H]%15.[H]9.[H]%11,17759517,"InChI=1S/C27H26N8O2S/c1-32-17-27(31-19-32)38(36,37)35(14-21-5-3-20(11-28)4-6-21)24-10-23-9-22(12-29)7-8-26(23)34(15-24)16-25-13-30-18-33(25)2/h3-9,13,17-19,24H,10,14-16H2,1-2H3",BLCYASSTUFIEFY-UHFFFAOYSA-N,,3.0,0
S=123=O.O=1.O1C4=O.N56C78C9%10N2C42[H].N4%11C=%12C6%13[H].N=6C3=C3N%14C=6[H].N=6C=%12[H].N#CC%12=C%15C=%16C9%17[H].C5=%16C5=C%12[H].C19%12C1%16[H].C4=6[H].C%1146[H].C9%11%18[H].C%129%19[H].C%14%12%20[H].[H]%10.[H]7.[H]8.[H]%17.[H]%13.[H]2.[H]%15.[H]5.[H]3.[H]4.[H]6.[H]1.[H]%16.[H]%11.[H]%18.[H]9.[H]%19.[H]%12.[H]%20,11364483,"InChI=1S/C25H31N7O4S/c1-25(2,3)36-24(33)15-32(37(34,35)23-14-29(4)17-28-23)20-9-19-8-18(10-26)6-7-22(19)31(12-20)13-21-11-27-16-30(21)5/h6-8,11,14,16-17,20H,9,12-13,15H2,1-5H3",NLCBWQRVYLSINY-UHFFFAOYSA-N,,10.0,0
S=123=O.O=1.O=C1N4C56C78[H].N29C2%10C%11%12N%13C%14=C%15C2%16[H].N2%17C=%18C%13%19[H].N=%13C3=C3N%20C=%13[H].N=%13C=%18[H].N#CC%18=C%15[H].C19%15[H].C%141=C%18[H].C59%14[H].C65%18[H].C2=%13[H].C%1726[H].C%20%13%17[H].[H]%10.[H]%11.[H]%12.[H]%16.[H]%19.[H]%15.[H]1.[H]4.[H]3.[H]7.[H]8.[H]9.[H]%14.[H]5.[H]%18.[H]2.[H]6.[H]%13.[H]%17,11307004,"InChI=1S/C25H32N8O3S/c1-25(2,3)29-23(34)14-33(37(35,36)24-15-30(4)17-28-24)20-9-19-8-18(10-26)6-7-22(19)32(12-20)13-21-11-27-16-31(21)5/h6-8,11,15-17,20H,9,12-14H2,1-5H3,(H,29,34)",GGKUJNMJJNAMPQ-UHFFFAOYSA-N,,17.0,0
S=123=O.S=456=O.O=C7N8C=9N=C%10C%11=C%12C=9C9%13C7%14N2C27C%15=C%16C%17=C5C5=C%15[H].O=1.O=4.N14C=%15C8%18[H].N=8C3=C3N%19C=8[H].N=8C=%15[H].N#C%11.C1=8[H].C418[H].C%194%11[H].C6%15%19[H].[H]%14.[H]9.[H]%13.[H]2.[H]7.[H]%18.[H]%12.[H]%16.[H]%10.[H]3.[H]%17.[H]5.[H]1.[H]8.[H]4.[H]%11.[H]%15.[H]%19,44455439,"InChI=1S/C26H26N8O5S2/c1-31-15-24(30-17-31)41(38,39)34(13-18-4-6-22(7-5-18)40(3,36)37)23-9-20-8-19(10-27)11-29-25(20)33(26(23)35)14-21-12-28-16-32(21)2/h4-8,11-12,15-17,23H,9,13-14H2,1-3H3",PEFJOCQQGFRWOS-UHFFFAOYSA-N,,52.0,0
